provincia,lat,long
Buenos Aires,-36.393665,-60.331376
CABA,-34.587446,-58.416322
Catamarca,-27.797674,-66.470321
Chaco,-26.585963,-60.350936
Chubut,-43.959127,-68.195175
Córdoba,-31.482448,-63.910507
Corrientes,-28.784284,-57.798474
Entre Ríos,-32.219554,-59.259656
Formosa,-24.754205,-59.977401
Jujuy,-23.198325,-65.778182
La Pampa,-36.973936,-65.053085
La Rioja,-29.676017,-66.986678
Mendoza,-33.767632,-68.557723
Misiones,-26.89992,-54.495224
Neuquén,-38.468549,-69.85411
Rio Negro,-40.235417,-66.657089
Salta,-25.222226,-64.844344
San Juan,-31.088119,-68.56871
San Luis,-33.187977,-66.045044
Santa Cruz,-48.645533,-69.810165
Santa Fé,-31.426216,-61.065048
Santiago Del Estero,-27.700445,-63.317245
Tierra Del Fuego,-54.410868,-67.503036
Tucumán,-26.919513,-65.30577
